assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCF_003723455.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2484640	2734113	Synechococcus phage S-P4	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM372345v1		GCA_003723455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/723/455/GCF_003723455.1_ASM372345v1
GCF_004015365.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2488789	2846398	Streptomyces phage Gilson	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM401536v1		GCA_004015365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/015/365/GCF_004015365.1_ASM401536v1
GCF_004148545.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2502469	2955506	Mycobacterium phage QBert	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM414854v1		GCA_004148545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/148/545/GCF_004148545.1_ASM414854v1
GCF_004148565.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2502470	2955505	Mycobacterium phage NoodleTree	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM414856v1		GCA_004148565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/148/565/GCF_004148565.1_ASM414856v1
GCF_004138975.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2507854	2844673	Gordonia phage Rickmore	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM413897v1		GCA_004138975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/138/975/GCF_004138975.1_ASM413897v1
GCF_004139035.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2507858	2844664	Gordonia phage Duffington	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM413903v1		GCA_004139035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/139/035/GCF_004139035.1_ASM413903v1
GCF_005892105.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2508203	2508203	Escherichia phage vB_EcoP_WFI101126	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM589210v1		GCA_005892105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/892/105/GCF_005892105.1_ASM589210v1
GCF_004149385.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2510525	2956001	Streptomyces phage Janus	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM414938v1		GCA_004149385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/149/385/GCF_004149385.1_ASM414938v1
GCF_004520615.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2517973	2956394	Streptomyces phage EGole	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM452061v1		GCA_004520615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/520/615/GCF_004520615.1_ASM452061v1
GCF_004339925.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2530160	2955565	Streptomyces phage Caelum	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM433992v1		GCA_004339925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/339/925/GCF_004339925.1_ASM433992v1
GCF_004340505.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2530172	2734243	Pseudomonas phage Lana	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM434050v2		GCA_004340505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/340/505/GCF_004340505.1_ASM434050v2
GCF_004521515.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2545435	2733953	Synechococcus phage S-B28	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM452151v1		GCA_004521515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/521/515/GCF_004521515.1_ASM452151v1
GCF_005568315.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2565657	2734090	Rheinheimera phage vB_RspM_Barba18A	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM556831v1		GCA_005568315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/568/315/GCF_005568315.1_ASM556831v1
GCF_005568375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2565658	2734091	Rheinheimera phage vB_RspM_Barba19A	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM556837v1		GCA_005568375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/568/375/GCF_005568375.1_ASM556837v1
GCF_002957645.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2570300	2060092	Vibrio phage Ceto	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM295764v1		GCA_002957645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/957/645/GCF_002957645.1_ASM295764v1
GCF_002957655.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2570301	2060093	Vibrio phage Thalassa	na	na	latest	Complete Genome	Major	Full	2019/05/02	Vibriophage_Thalassa		GCA_002957655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/957/655/GCF_002957655.1_Vibriophage_Thalassa
GCF_006384375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588097	2843646	Aeromonas phage 2L372D	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM638437v1		GCA_006384375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/384/375/GCF_006384375.1_ASM638437v1
GCF_014190395.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588487	3060828	Synechococcus phage S-SCSM1	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1419039v1		GCA_014190395.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/190/395/GCF_014190395.1_ASM1419039v1
GCF_006964765.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588490	2844669	Gordonia phage Kenosha	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM696476v1		GCA_006964765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/964/765/GCF_006964765.1_ASM696476v1
GCF_006965365.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588514	2956395	Streptomyces phage Evy	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM696536v1		GCA_006965365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/965/365/GCF_006965365.1_ASM696536v1
GCF_008215005.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588515	2843647	Aeromonas phage 2L372X	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM821500v1		GCA_008215005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/215/005/GCF_008215005.1_ASM821500v1
GCF_008215185.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588517	2843648	Aeromonas phage 4_4572	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM821518v1		GCA_008215185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/215/185/GCF_008215185.1_ASM821518v1
GCF_008215065.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2588518	2843649	Aeromonas phage 4L372D	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM821506v1		GCA_008215065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/215/065/GCF_008215065.1_ASM821506v1
GCF_008214915.1	PRJNA485481	SAMN11360419	na	na	na	ICTV species exemplar	2589658	2844212	Escherichia phage Mangalitsa	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM821491v1		GCA_008214915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/214/915/GCF_008214915.1_ASM821491v1
GCF_008214965.1	PRJNA485481	SAMN11411459	na	na	na	ICTV species exemplar	2589659	2589659	Escherichia phage Paul	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM821496v1		GCA_008214965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/214/965/GCF_008214965.1_ASM821496v1
GCF_006863775.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2591030	2843654	Aeromonas phage LAh_6	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM686377v1		GCA_006863775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/863/775/GCF_006863775.1_ASM686377v1
GCF_006863865.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2591032	2843655	Aeromonas phage LAh_8	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM686386v1		GCA_006863865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/863/865/GCF_006863865.1_ASM686386v1
GCF_006863925.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2591033	2843656	Aeromonas phage LAh_9	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM686392v1		GCA_006863925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/863/925/GCF_006863925.1_ASM686392v1
GCF_007310815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2591121	3060415	Gordonia phage Trax	na	na	latest	Complete Genome	Major	Full	2022/01/24	ASM731081v1		GCA_007310815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/310/815/GCF_007310815.1_ASM731081v1
GCF_013387645.1	PRJNA485481	na	na	na	na	na	2593324	2593324	Escherichia phage vB_EcoM_Bp10	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM1338764v1		GCA_013387645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/387/645/GCF_013387645.1_ASM1338764v1
GCF_013387655.1	PRJNA485481	na	na	na	na	na	2593331	2593331	Escherichia phage vB_EcoP_Bp7	na	na	latest	Complete Genome	Major	Full	2023/05/17	ASM1338765v1		GCA_013387655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/387/655/GCF_013387655.1_ASM1338765v1
GCF_007051625.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2593356	2956392	Streptomyces phage Braelyn	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM705162v1		GCA_007051625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/051/625/GCF_007051625.1_ASM705162v1
GCF_007051785.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2593360	2956121	Streptomyces phage Yasdnil	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM705178v1		GCA_007051785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/051/785/GCF_007051785.1_ASM705178v1
GCF_007998555.1	PRJNA485481	SAMN12307310	na	na	na	ICTV species exemplar	2596966	2845089	Klebsiella phage KpCHEMY26	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM799855v1		GCA_007998555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/998/555/GCF_007998555.1_ASM799855v1
GCF_008940205.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2599888	2955564	Streptomyces phage Alvy	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM894020v1		GCA_008940205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/940/205/GCF_008940205.1_ASM894020v1
GCF_008375535.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2601630	2601630	Shigella phage SGF2	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM837553v1		GCA_008375535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/375/535/GCF_008375535.1_ASM837553v1
GCF_013375085.2	PRJNA485481	na	na	na	na	ICTV species exemplar	2601675	2844175	Escherichia phage vB_EcoM_4HA13	na	na	latest	Complete Genome	Major	Full	2021/07/07	ASM1337508v1		GCA_013375085.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/375/085/GCF_013375085.2_ASM1337508v1
GCF_008705035.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2601686	2844662	Gordonia phage Chikenjars	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM870503v1		GCA_008705035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/705/035/GCF_008705035.1_ASM870503v1
GCF_008704955.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2601693	2955576	Streptomyces phage Saftant	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM870495v1		GCA_008704955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/955/GCF_008704955.1_ASM870495v1
GCF_008704815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2601695	3060830	Streptomyces phage Zuko	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM870481v1		GCA_008704815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/815/GCF_008704815.1_ASM870481v1
GCF_009186435.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2652414	2844671	Gordonia phage OhMyWard	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM918643v1		GCA_009186435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/186/435/GCF_009186435.1_ASM918643v1
GCF_009186825.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2652415	2844677	Gordonia phage Tanis	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM918682v1		GCA_009186825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/186/825/GCF_009186825.1_ASM918682v1
GCF_009672605.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2653725	2956393	Streptomyces phage Daubenski	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM967260v1		GCA_009672605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/672/605/GCF_009672605.1_ASM967260v1
GCF_009388345.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2655002	2955875	Acinetobacter phage VB_ApiP_XC38	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM938834v1		GCA_009388345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/388/345/GCF_009388345.1_ASM938834v1
GCF_009686105.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2656529	2844659	Gordonia phage Avazak	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM968610v1		GCA_009686105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/686/105/GCF_009686105.1_ASM968610v1
GCF_009688065.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2656532	2844663	Gordonia phage Crocheter	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM968806v1		GCA_009688065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/688/065/GCF_009688065.1_ASM968806v1
GCF_009686325.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2656542	2844678	Gordonia phage Untouchable	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM968632v1		GCA_009686325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/686/325/GCF_009686325.1_ASM968632v1
GCF_009388325.1	PRJNA485481	na	na	na	na	na	2660687	1982240	Pseudomonas phage Quinobequin-P09	na	na	latest	Complete Genome	Major	Full	2023/03/26	ASM938832v1		GCA_009388325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/388/325/GCF_009388325.1_ASM938832v1
GCF_009744855.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2662277	2662277	Escherichia phage ES17	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM974485v2		GCA_009744855.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/744/855/GCF_009744855.1_ASM974485v2
GCF_000879095.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2679905	490103	Escherichia phage phiEco32	na	na	latest	Complete Genome	Major	Full	2008/02/11	ViralProj28729		GCA_000879095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/879/095/GCF_000879095.1_ViralProj28729
GCF_014840125.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2686238	2686238	Escherichia phage vB_EcoP_EcoN5	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1484012v1		GCA_014840125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/840/125/GCF_014840125.1_ASM1484012v1
GCF_015767195.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2686301	2686301	Pectobacterium phage Possum	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1576719v1		GCA_015767195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/767/195/GCF_015767195.1_ASM1576719v1
GCF_009861265.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2686471	2955504	Mycobacterium phage Mangeria	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM986126v1		GCA_009861265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/861/265/GCF_009861265.1_ASM986126v1
GCF_010120295.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2696397	2844253	Escherichia phage flopper	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM1012029v1		GCA_010120295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/120/295/GCF_010120295.1_ASM1012029v1
GCF_010706295.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2704031	2843681	Alteromonas phage vB_AmeM_PT11-V22	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM1070629v1		GCA_010706295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/706/295/GCF_010706295.1_ASM1070629v1
GCF_017654265.1	PRJNA485481	SAMN14133964	na	na	na	ICTV species exemplar	2711183	2711183	Escherichia phage MN03	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1765426v1		GCA_017654265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/265/GCF_017654265.1_ASM1765426v1
GCF_017654285.1	PRJNA485481	SAMN14133966	na	na	na	ICTV species exemplar	2711185	2711185	Escherichia phage MN05	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1765428v1		GCA_017654285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/285/GCF_017654285.1_ASM1765428v1
GCF_011756665.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2713267	2713267	Streptomyces phage Wakanda	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1175666v1		GCA_011756665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/756/665/GCF_011756665.1_ASM1175666v1
GCF_011756685.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2713269	2713269	Streptomyces phage Muntaha	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1175668v1		GCA_011756685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/756/685/GCF_011756685.1_ASM1175668v1
GCF_011757295.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2718942	3060183	Synechococcus phage S-H34	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1175729v2		GCA_011757295.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/757/295/GCF_011757295.1_ASM1175729v2
GCF_011757305.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2718943	3060040	Synechococcus phage S-N03	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1175730v1		GCA_011757305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/757/305/GCF_011757305.1_ASM1175730v1
GCF_012294165.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2721757	2955978	Halorubrum virus Serpecor1	na	na	latest	Complete Genome	Major	Full	2022/04/27	Serpecor1_SC1		GCA_012294165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/294/165/GCF_012294165.1_Serpecor1_SC1
GCF_012163105.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2721760	2845760	Pantoea phage vB_PagM_SSEM1	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM1216310v1		GCA_012163105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/163/105/GCF_012163105.1_ASM1216310v1
GCF_012933935.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2725616	2844675	Gordonia phage Secretariat	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM1293393v1		GCA_012933935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/933/935/GCF_012933935.1_ASM1293393v1
GCF_012934055.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2725628	2955567	Streptomyces phage Issmi	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1293405v1		GCA_012934055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/934/055/GCF_012934055.1_ASM1293405v1
GCF_012934065.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2725629	2956391	Streptomyces phage Bmoc	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM1293406v1		GCA_012934065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/934/065/GCF_012934065.1_ASM1293406v1
GCF_013215495.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2729541	2843682	Alteromonas phage vB_AcoS-R7M	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM1321549v1		GCA_013215495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/215/495/GCF_013215495.1_ASM1321549v1
GCF_014337465.1	PRJNA485481	SAMN15033194	na	na	na	ICTV species exemplar	2739834	2739834	Streptomyces phage Coruscant	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1433746v1		GCA_014337465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/337/465/GCF_014337465.1_ASM1433746v1
GCF_014337485.1	PRJNA485481	SAMN15041799	na	na	na	ICTV species exemplar	2740181	2955573	Streptomyces phage Endor1	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1433748v1		GCA_014337485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/337/485/GCF_014337485.1_ASM1433748v1
GCF_014337495.1	PRJNA485481	SAMN15041800	na	na	na	ICTV species exemplar	2740182	2955574	Streptomyces phage Endor2	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1433749v1		GCA_014337495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/337/495/GCF_014337495.1_ASM1433749v1
GCF_002582805.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2740801	2733889	uncultured phage_MedDCM-OCT-S45-C4	na	uvMED-CGR-U-MedDCM-OCT-S45-C4	latest	Complete Genome	Major	Full	2020/05/15	ASM258280v1		GCA_002582805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/582/805/GCF_002582805.1_ASM258280v1
GCF_013306715.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2742112	2742112	Escherichia phage EK010	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1330671v1		GCA_013306715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/306/715/GCF_013306715.1_ASM1330671v1
GCF_013306725.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2742113	2742113	Escherichia phage O18-011	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1330672v1		GCA_013306725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/306/725/GCF_013306725.1_ASM1330672v1
GCF_014337565.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2762280	3060414	Gordonia phage Rabbitrun	na	na	latest	Complete Genome	Major	Full	2022/01/24	ASM1433756v1		GCA_014337565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/337/565/GCF_014337565.1_ASM1433756v1
GCF_014338065.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2762409	2955507	Mycobacterium phage Quasimodo	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM1433806v1		GCA_014338065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/338/065/GCF_014338065.1_ASM1433806v1
GCF_014518015.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2767565	2767565	Streptomyces phage Faust	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1451801v1		GCA_014518015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/518/015/GCF_014518015.1_ASM1451801v1
GCF_015244885.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2767576	2956389	Streptomyces phage Salutena	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1524488v1		GCA_015244885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/244/885/GCF_015244885.1_ASM1524488v1
GCF_015502085.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2767584	2956431	Streptomyces phage Sentinel	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1550208v1		GCA_015502085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/502/085/GCF_015502085.1_ASM1550208v1
GCF_015502115.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2767587	2955577	Streptomyces phage Sitrop	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1550211v1		GCA_015502115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/502/115/GCF_015502115.1_ASM1550211v1
GCF_015502125.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2767588	2956432	Streptomyces phage Spernnie	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM1550212v1		GCA_015502125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/502/125/GCF_015502125.1_ASM1550212v1
GCF_015502395.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2783669	3060825	Synechococcus phage S-H9-2	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1550239v1		GCA_015502395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/502/395/GCF_015502395.1_ASM1550239v1
GCF_015502405.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2783673	3060818	Synechococcus phage S-H38	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1550240v1		GCA_015502405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/502/405/GCF_015502405.1_ASM1550240v1
GCF_015502415.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2783674	2783674	Synechococcus phage S-H9-1	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM1550241v1		GCA_015502415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/502/415/GCF_015502415.1_ASM1550241v1
GCF_001507515.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2784187	1465639	Podophage Lau218	strain=Abe	na	latest	Chromosome	Major	Full	2016/01/06	ViralProj253205		GCA_001507515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/507/515/GCF_001507515.1_ViralProj253205
